#,Trigger (XYZ),Action (ABC)
1,Maruti Suzuki launches e-VITARA; charging network maps released.,"Long MARUTI; pricing power in the service network is the ""hidden"" edge."
2,Lithium prices drop 15% in Q1 due to oversupply from new African mines.,Buy pure EV plays like Tesla (TSLA) or Tata Motors; margins will expand.
3,"Used car inventories hit a 2-year high; prices for 2022-24 models ""crash.""",Short Carvana (CVNA) or used-car aggregators before Q1 earnings.
4,"Toyota (TM) leaks solid-state battery range of 1,000km for 2027 models.",Buy TM on the rumor; this is a generational tech shift.
5,Mahindra XUV 7XO (three-row) pre-bookings exceed 50k in 48 hours.,"Long M&M; it confirms the ""mid-size SUV dominance"" trend."
6,Indian Govt increases FAME-III subsidies for 2-wheelers only.,Rotate capital from car makers to TVS or Bajaj Auto.
7,"Nvidia (NVDA) signs ""Automated Driving"" chip deal with Hyundai.","Long Hyundai (HYMTF); it’s becoming a ""Software-Defined Vehicle"" leader."
8,Rubber prices spike due to floods in Southeast Asia.,Short tire manufacturers like Apollo or MRF; input costs will eat profits.
9,Ford announces exit from a high-loss European market.,"Buy the ""Streamlining"" news; stock usually rallies on cost-cutting."
10,Rivian (RIVN) hits positive gross margin for the first time.,"Momentum Buy; the ""death watch"" for the startup is officially over."
11,Ferrari (RACE) order book for the 2026 hybrid supercar is full through 2029.,Hold for low-volatility growth; luxury is immune to inflation.
12,"Apple Pay integrates ""Connected Car"" micro-payments for tolls/gas.",Buy stocks of dashboard OS providers like BlackBerry (BB/QNX).
13,A major airbag recall is announced for 5 million Japanese vehicles.,"Short the specific OEM; look for a 3-5% ""knee-jerk"" drop."
14,HDFC Bank cuts auto loan rates by 0.5%.,Long mass-market OEMs like Maruti; lower EMI = higher volume.
15,Lucid (LCID) receives an extra $2B from the Saudi PIF.,"Day Trade the news pop, but don't hold long; dilution is still a risk."
16,Bosch announces a 30% reduction in EV powertrain weight.,"Buy Bosch (BOSCHLTD) as the ""hidden winner"" of the EV transition."
17,"BMW announces ""Subscription-based"" heated seats are being removed.",Buy the sentiment shift; consumer-friendly moves improve brand loyalty.
18,"Oil falls below $65; consumer interest in ""Hybrids"" wanes.",Short Toyota; Long pure-ICE (internal combustion) performance brands.
19,Ola Electric reports 40% drop in service complaints.,"Long OLAELEC; the ""quality"" narrative is finally turning positive."
20,BYD announces a $10k EV for the Latin American market.,Short local budget competitors in those specific regions.
